,0.1-1.0,1.0-20.0,4.0-14.0,4.0-20.0
2020-05-11 14:44:59,1.8748532843e-07,2.47756047109e-09,2.73203155932e-10,3.05420269403e-10
2020-05-11 14:59:59,1.91411642667e-07,2.49773093442e-09,3.352016881e-10,3.66589469057e-10
2020-05-11 15:14:59,2.00844221167e-07,2.49688671249e-09,2.98822277305e-10,3.31166645069e-10
2020-05-11 15:29:59,2.05330143109e-07,2.49365385234e-09,2.90935907539e-10,3.22684651447e-10
2020-05-11 15:44:59,1.9926694363e-07,2.47944524601e-09,3.30970175436e-10,3.60017655108e-10
2020-05-11 15:59:59,1.87349508534e-07,2.5332570501e-09,2.92960331831e-10,3.26395114464e-10
2020-05-11 16:14:59,1.87023148501e-07,2.59737713043e-09,2.80143952736e-10,3.15682093063e-10
2020-05-11 16:29:59,1.92661134823e-07,2.49740223316e-09,3.07850859745e-10,3.37543680663e-10
2020-05-11 16:44:59,1.89274771942e-07,2.3959987612e-09,3.37372533177e-10,3.69117811898e-10
2020-05-11 16:59:59,1.91249194943e-07,2.52137042627e-09,3.47871638707e-10,3.81340770134e-10
2020-05-11 17:14:59,1.93489440269e-07,2.51798038391e-09,3.3201023985e-10,3.67036705356e-10
2020-05-11 17:29:59,1.95555670318e-07,2.41357226958e-09,3.20200805205e-10,3.54386710742e-10
2020-05-11 17:44:59,2.03307308526e-07,2.45874740756e-09,2.9905181592e-10,3.29922407299e-10
2020-05-11 17:59:59,2.01293510956e-07,2.51745925257e-09,3.05558962047e-10,3.36559503676e-10
2020-05-11 18:14:59,2.00621096317e-07,2.54025129138e-09,3.41966922845e-10,3.72441235057e-10
2020-05-11 18:29:59,2.02336730296e-07,2.53896308981e-09,4.1337149184e-10,4.46542063669e-10
2020-05-11 18:44:59,1.99191791522e-07,2.55681640501e-09,4.63942865431e-10,4.99788201305e-10
2020-05-11 18:59:59,2.01282256078e-07,2.62286142746e-09,4.92247208393e-10,5.21000137567e-10
2020-05-11 19:14:59,1.9407144038e-07,2.68902567272e-09,5.34467730019e-10,5.60284135957e-10
2020-05-11 19:29:59,1.95625202905e-07,2.6965280205e-09,5.78243914689e-10,6.10322918329e-10
2020-05-11 19:44:59,2.02430453424e-07,2.71511607427e-09,7.79587861614e-10,8.30911076412e-10
